[1788895933237] === ENGINE STARTUP ===
[1788895933237] Attempting WebSocket connection...
[1788895933238] WebSocket connection spawned successfully.
[1788895933238] Initializing Terminal UI...
[1788895933238] Background Reconciliation Task started. Awaiting stream...
[1788895933239] TUI Render Frame -> Synced: false, Seq ID: 0, Bids: 0, Asks: 0
[1788895936240] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936289] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936340] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936390] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936439] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936490] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936540] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936589] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936640] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936690] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936740] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936790] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936840] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936890] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936940] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895936990] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895937040] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895937090] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895937140] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895937190] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895937240] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895937290] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895937340] TUI Render Frame -> Synced: true, Seq ID: 1788895933592000000, Bids: 20, Asks: 20
[1788895937340] Msg #2: Depth received | Bids: 20, Asks: 20, Timestamp ID: 1788895936930000000
[1788895937340] Reconciler book exists: true
[1788895937340] ui_tx.send status: true, receiver count: 1
[1788895937389] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937440] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937490] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937540] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937589] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937640] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937690] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937740] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937790] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937840] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937890] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937940] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895937990] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938040] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938090] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938140] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938190] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938240] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938290] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938340] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938389] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938440] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938489] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938540] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938592] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938640] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938691] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938741] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938791] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938840] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938890] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938939] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895938990] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939039] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939090] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939141] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939189] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939241] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939290] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939341] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939389] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939440] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
[1788895939490] TUI Render Frame -> Synced: true, Seq ID: 1788895936930000000, Bids: 20, Asks: 20
